"LkupReferenceID","FdReferenceName","FdCitationDescription"
"1148","Romero, M. 1988.","Life history of the kelp rockfish, Sebastes atrovirens (Scorpaenidae). M.A. Thesis, San Francisco State University. 49 p."
"1149","Rosales-Casian, J.A. 1997.","Inshore soft-bottom fishes of two coastal lagoons on the northern Pacific coast of Baja California. California Cooperative Oceanic Fisheries Investigations Reports 38:180-192."
"1150","Rosenberg, A.A. 1980.","Growth of juvenile English sole, Parophrys vetulus, in estuarine and open coastal nursery grounds. M.S. Thesis, Oregon State University. 51 p."
"1151","Rosenblatt, R. and J. Graham. 1996.","Paralabrax as a model for predicting effects of ocean warming. California Sea Grant. Biennial report of completed projects 1992-94. p. 11-13."
"1152","Rosenthal, R.J., L.J. Field, D. Myer. 1981.","Survey of nearshore bottomfish in the outside waters of southeastern Alaska. Alaska Department of Fish and Game. 91 p."
"1155","Rosenthal, R.J., V. Moran-O'Connell, and M.C. Murphy. 1988.","Feeding ecology of ten species of rockfishes (Scorpaenidae) from the Gulf of Alaska. California Department of Fish and Game 74(1):16-37."
"1156","Rosenthal, R.J., L. Haldorson, L.J. Field, V. Moran-O'Connell, and M.G. LaRiviere. 1982.","Inshore and shallow offhshore bottomfish resources in the southeastern Gulf of Alaska. Alaska Coastal Research. 166 p."
"1158","Rothrock, G.C. 1973.","Age-length, weight, fecundity, and meristics of the kelp greenling (Hexagrammos decagrammus) off California. M.S. Thesis, University of California, Davis. 95 p."
"1159","Ruagh, A.A. 1976.","Feeding habits of silversides (family Atherinidae) in Elkhorn Slough, Monterey Bay, California. M.A. Thesis, California State University Fresno. 60 p."
"1160","Russo, R.A. 1975.","Observations on the food habits of leopard sharks (Triakis semifasciata) and brown smoothhounds (Mustelus henlei). California Department of Fish and Game 61(2):5-103."
"1162","Rutenberg, E.P. 1970.","Survey of the fishes of family Hexagrammidae. In: T.S. Rass (Editor), Greenlings: Taxonomy, Biology, Interoceanic Transplantation, p. 1-103. Academy of Sciences of the USSR, Transactions of the Institute of Oceanology, Volume 59. Translated from Russian by the Israel Program for Scientific Translations, Jerusalem."
"1163","Sakuma, K.M. 1992.","Pelagic distributions of juvenile sanddabs (Citharichthys sordidus and C.stigmaeus) off Central California. M.A. Thesis, San Francisco State University, 78 p."
"1164","Sakuma, K.M. and R.J. Larson. 1995.","Distribution of pelagic metamorphic-stage sanddabs Citharichthys sordidus and C.stigmaeus within areas of upwelling off central California. Fishery Bulletin 93(3):516-529."
"1166","Sakuma, K.M., S. Ralston, and D.A. Roberts. 1999.","Diel vertical distribution of postflexion larval Citharichthys spp. off central California. Fisheries Oceanography 8(1):68-76."
"1167","Sampson, D.B. and E.M. Stewart. 1994.","Status of the canary rockfish resource off Oregon and Washington in 1994. In: Status of the Pacific coast groundfish fishery through 1994 and recommended acceptable biological catches for 1995, Appendix G. Pacific Fishery Management Council, Portland, Oregon. 62 p."
"1168","SanFilippo, R.A. 1995.","Diet, gastric evacuation and estimates of daily ration of the gray smoothhound, Mustelus californicus. M.S. Thesis, San Jose State University. 71 p."
"1169","Sandell, R.D. 1973.","Aspects of the biology of the elasmobranch fishes of Anaheim Bay, California, with special reference to food habits. M.A. Thesis, California State University Long Beach. 113 p."
"1170","Sandknop, E.M. and W. Watson. 1996.","Sphyraenidae: Barracudas. In: H.G. Moser (Editor), The early stages of fishes in the California current region, California Cooperative Oceanic Fisheries Investigations, Atlas No. 33, p 1250-1255. Allen Press, Inc., Lawrence, Kansas."
"1172","Sathyanesan, A.G. 1966.","Egg laying of the chimearoid fish Hydrolagus colliei. Copeia 1966(1):132-135."
"1173","Saunders, M.W. and G.A. McFarlane. 1993.","Age and length at maturity of the female spiny dogfish, Squalus acanthias, in the Strait of Georgia, British Columbia, Canada. Environmental Biology of Fishes 38:49-57."
"1174","Saunders, M.W., G.A. McFarlane, and M.S. Smith. 1984.","Abundance, distribution, and biology of spiny dogfish (Squalus acanthias) in Hecate Strait during Sept 7- Oct 1, 1982. Canadian Manuscript Report of Fisheries and Aquatic Sciences No. 1754, 161 p."
"1175","Schaefer, M.B. 1936.","Contribution to the life history of the surf smelt, Hypomesus pretiosus, in Puget Sound.: State of Washington, Division of Scientific Research, Department of Fisheries. Biological Report Report No. 35B. 45 p."
"1176","Schlotterbeck, R.E. and D.W. Connally. 1982.","Vertical stratification on three nearshore southern California larval fishes (Engraulis mordax, Genyonemus lineatus, and Seriphus politus). Fishery Bulletin 80(4):895-902."
"1177","Schmitt, R.J. and J.A. Coyer. 1982.","The foraging ecology of sympatric marine fish in the genus Embiotoca (Embiotocidae): Importance of foraging behavior in prey size selection. Oecologia 55:369-378."
"1178","Schmitt, R.J. and J.A. Coyer. 1983.","Variation in surfperch diets between allopatry and sympatry: circumstantial evidence for competition. Oecologia 58:402-410."
"1179","Schmitt, R.J. and S.J. Holbrook. 1984a.","Gape-limitation, foraging tactics and prey size selectivity of two microcarnivorous species of fish. Oecologia 63:6-12."
"1180","Schmitt, R.J. and S.J. Holbrook. 1984b.","Ontogeny of prey selection by black surfperch Embiotoca Jacksoni (Pisces: Embiotocidae): the roles of fish morphology, foraging behavior, and patch selection. Marine Ecology Progress Series 18:225-239."
"1181","Schmitt, R.J. and S.J. Holbrook. 1985.","Patch selection by juvenile black surfperch (Embiotocidae) under variable risk: interactive influence of food quality and structural complexity. Journal of Experimental Marine Biology and Ecology 85:269-285."
"1182","Schmitt, R.J. and S.J. Holbrook. 1986.","Seasonally fluctuating resources and temporal variability of interspecific competition. Oecologia 69:1-11."
"1183","Schmitt, R.J. and S.J. Holbrook. 1990a.","Contrasting effects of giant kelp on dynamics of surfperch populations. Oecologia 84:419-429."
"1184","Schmitt, R.J. and S.J. Holbrook. 1990b.","Population responses of surfperch released from competition. Ecology 71(5):1653-1665."
"1185","Schmitt, R.J. and S.W. Strand. 1982.","Cooperative foraging by yellowtail, Seriola lalandei (Carangidae), on two species of fish prey. Copeia 3(1982):714-717."
"1186","Schultz, L.P. 1933.","The age and growth of Atherinops affinis oregonia Jordon and Snyder and of other subspecies of baysmelt along the Pacific coast of the United States. University of Washington Publications in Biology 2(3):45-102."
"1187","Schultze, D.L. 1983.","California barracuda life history, fisheries, and management. California Cooperative Oceanic Fisheries Investigations Reports 24:88-86."
"1188","Schultz, L.P. and A.C. DeLacy. 1932.","The eggs and nesting habits of the crested blenny, Anoplarchus. Copeia 1932(3):143-147."
"1190","Seeb, L.W. 1986.","Biochemical systematics and evolution of the scorpaenid genus Sebastes. Ph.D. Thesis, University of Washington. 176 p."
"1191","Seeb, L.W. 1998.","Gene flow and introgression within and among three species of rockfishes, Sebastes auriculatus, S. caurinus,and S. maliger. The Journal of Heredity 89(5):393-403."
"1192","Segura-Zarzosa, J.C., L.A. Abitia-Cardenas, and F. Galvan-Magana. 1997.","Observations on the feeding habits of the shark Heterodontous francisci Girard 1854 (Chondrichthys:Heterodontidae), in San Ignacio Lagoon, Baja California Sur, Mexico. Ciencias Marinas 23(1):111-128."
"1193","Sekiguchi, K. 1987.","Occurrence and behavior of harbor porpoises (Phocoena phocoena) at Pajaro Dunes, Monterey Bay, California. M.S. Thesis, San Jose State University. 49 p."
"1194","Setran, A.C. and D.W. Behrens. 1993.","Transitional ecological requirements for early juveniles of two sympatric stichaeid fishes, Cebidichthys violaceus and Xiphister mucosus. Environmental Biology of Fishes 37:381-395."
"1195","Setran, A.C. 1990.","Distribution, abundance and ecological requirments for the larvae and early juveniles of two sympatric blennoid fishes, Cebidichthys violaceus and Xiphister mucosus. M.S. Thesis, San Diego State University. 125 p."
"1198","Shane, M.A., W. Watson, and H.G. Moser. 1996.","Polyprionidae: Giant sea basses and wreckfishes. In: H.G. Moser (Editor), The early stages of fishes in the California current region, p 873-875. Allen Press, Lawrence, Kansas."
"1199","Shaw, E. and J. Allen. 1977.","Reproductive behavior in the female shiner perch Cymatogaster aggregata. Marine Biology 40:81-86."
"1200","Shaw, E. 1971.","Evidence of sexual maturation in young adult shiner perch, Cymatogaster aggregata Gibbons (Perciformes, Embiotocidae). American Museum Novitates 2479:1-10."
"1201","Shaw, F.R. 1999.","Life history of four species of rockfish (Genus Sebastes). Ph.D. Thesis, Univeristy of Washington. 178 p."
"1202","Shaw, W.N. and T.J. Hassler. 1989.","Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (Pacific Northwest). Lingcod. U.S. Fish and Wildlife Service Biological Report 82(11.119), 10 p."
"1203","Shaw, E., J. Allen, and R. Stone. 1974.","Notes on collection of shiner perch, Cymatogaster aggregata in Bodega Harbor, California. California Department of Fish and Game 60(1):15-25."
"1205","Shi, Y., D.R. Gunderson, and D.A. Armstrong. 1995.","Population dynamics of 0+ English sole, Plueronectes vetulus, in estuaries and nearshore areas off Washington. Proceedings of the International Symposium on North Pacific Flatfish, p. 343-365. Alaska Sea Grant College Program, Fairbanks, Alaska."
"1206","Shi, Y., D.R. Gunderson, and P.J. Sullivan. 1996.","Growth and survival of 0+ English sole. Pleuronectes vetulus, in estuaries and adjacent nearshore waters off Washington. Fishery Bulletin 95(1):161-173."
"1207","Shiino, S.M. 1965.","Parasitic copepods of the Eastern Pacific fishes. Report of Faculty of Fisheries, Prefectural University of Mie 5(2):441-454."
"1208","Shrode, J.B., K.E. Zerba, and J.S. Stephens Jr. 1982.","Ecological significance of temperature tolerance and preference of some inshore California fishes. Transactions of the American Fisheries Society 111:45-51."
"1210","Shubnikov, D.A. and L.A. Lisovenko. 1964.","Data on the biology of the rock sole of the southeastern Bering Sea. Soviet Fisheries Investigations in the Northeast Pacific II:220-226."
"1211","Shvetsov, F.G. 1979.","Reproduction of the flounder Lepidosetta bilineata bilineata, off the Okhotsk Sea Coast near Paramushiro and Shumushu Islands. Journal of Ichthyology 19(5):61-68."
"1212","Shvetsov, F.G. 1981","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1213","Siebenaller, J.F. 1978.","Genetic variability in deep-sea fishes of the genus Sebastolobus (Scorpaenidae). In: B. Battaglia and J.A. Beardmore (Editors), Marine Organisms: Genetics, Ecology, and Evolution, p 95-122. Plenum Press, New York."
"1214","Sigalit, C. and W.J. Rainboth. 1981","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1215","Sigalit, C. and W.J. Rainboth. 1992.","Field analysis of color cues that elicit territorial behavior in the garibaldi, Hypsypops rubicundus (Pomacentridae). Copeia(4):1080-1084."
"1216","Sikkel, P.C. 1986.","Intraspecific cleaning by juvenile salema Xenestius californiensis (Pisces: Haemulidae). California Department of Fish and Game 72(3):170-189."
"1217","Sikkel, P.C. 1988.","Factors influencing spawning site choice by female garibaldi, Hypsypops rubicundus (Pisces: Pomacentridae). Copeia 1988(3):710-718."
"1218","Sikkel, P.C. 1989.","Egg presence and developmental stage influence spawning-site choice by female garibaldi. Animal Behavior 38:447-456."
"1219","Sikkel, P.C. 1993.","Changes in plasma androgen levels associated with changes in male reproductive behavior in a brood cycling marine fish. General and Comparative Endocrinology 89:229-237."
"1220","Sikkel, P.C. 1994.","Why female garibaldi prefer males with young eggs: A test of the parental investment hypothesis. Ethology Ecology and Evolution 6:191-211."
"1222","Sikkel, P.C. 1995a.","Diel periodicity of spawning activity in a permanently territorial damselfish: a test of adult feeding hypotheses. Environmental Biology of Fishes 42:241-251."
"1224","Sikkel, P.C. 1995b.","Effects of nest quality on male courtship and female spawning-site choice in an algal-nesting damselfish. Bulletin of Marine Science 57(3):682-689."
"1225","Sikkel, P.C. 1998.","Competitor intrusions and mate-search tactics in a territorial marine fish. Behavioral Ecology 9(5):439-444."
"1226","Silberberg, K.R., T.E. Laidig, and P.B. Adams. 2000 DRAFT.","Analysis of maturity in lingcod (Ophiodon elongatus). In Review: California Department of Fish and Game."
"1227","Simenstad, C.A. 1971.","The feeding ecology of the rock greenling, Hexagrammos lagocephalus in the inshore waters of Amchitka Island, Alaska. M.S. Thesis, University of Washington. 131 p."
"1228","Singer, M.M. 1982.","Food habit and activity patterns of juvenile rockfishes (Sebastes) in a central California kelp forest, M.A. Thesis, San Jose State University. 75 p."
"1229","Singer 1985","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1230","Sivalingam, S. 1953.","Age and growth of Taeniotoca lateralis. M.S. Thesis, University of Washington. 53 p."
"1231","Six, L.D. and H.F. Horton. 1977.","Analysis of age determination methods for yellowtail rockfish, canary rockfish, and black rockfish off Oregon. Fishery Bulletin 75(2):405-413."
"1232","Six, L.D. 1976.","Analysis of age determination methods for yellowtail rockfish, canary rockfish, and black rockfish off Oregon. M.S. Thesis, Oregon State University. 60 p."
"1234","Skalkin, V.A. 1968.","Diet of flatfishes in the southeastern Bering Sea. Soviet Fisheries Investigations in the Northeast Pacific 48(1):235-250."
"1235","Skogsberg, T. 1939.","The fishes of the family Sciaenidae (croakers) of California. California Department of Fish and Game, Fish Bulletin 54, 62 p."
"1236","Smedley, E.M. 1934.","Some parasitic nematodes in Canadian fishes. Journal of Helminthology 12(4):205-220."
"1237","Smith, K.L., Jr., and N.O. Brown. 1983.","Oxygen consumption of pelagic juveniles and demersal adults of the deep-sea fish Sebastolobus altivelis, measured at depth. Marine Biology 76:325-332."
"1238","Smith, E.J., Jr. and H.M. Mekjian. 1960.","Age and rate of growth. In: J.L. Baxter (Editor), A study of the yellowtail Seriola dorsalis (Gill). California Department of Fish and Game, Fish Bulletin 110:22-32."
"1239","Smith, E.J., Jr. and C.V. Paul. 1960.","Maturity and fecundity. In: J.L. Baxter (Editor), A study of the yellowtail Seriola dorsalis (Gill). California Department of Fish and Game, Fish Bulletin 110:46-52."
"1240","Smith & Young 1966","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1241","Smith, R. 1883.","On the life coloration of the young of Pomacentrus rubicundus. Proceedings of the United States Museum 5:652-653."
"1242","Smith, R.T. 1937.","Report on the Puget Sound otter trawl investigations. M.S. Thesis, University of Washington. 61 p."
"1243","Smith, A.K. 1967.","Population dynamics and ecology of the embiotocids of Humboldt Bay, California. M.S. Thesis, Humboldt State University. 84 p."
"1245","Smith, J.E. 1980.","Seasonality, spatial dispersion patterns and migration of benthic invertebrates in an intertidal marsh-sandflat system of Puget Sound, Washington, and their relation to waterfowl foraging and the feeding ecology of staghorn sculpin, Leptocottus armatus. Ph.D. Thesis, University of Washington, 178 p."
"1246","Smith, S.E. 1984.","Timing of vertebral-band deposition in tetracycline-injected leopard sharks. Transactions of the American Fisheries Society 113:308-313."
"1247","Smith, S.E. and N.J. Abramson. 1990.","Leopard shark Triakis semifasciata distribution, mortality rate, yield, and stock replenishment estimates based on a tagging study in San Francisco Bay. Fishery Bulletin 88(2):371-381."
"1248","Smith, B.D. and G.A. McFarlane. 1990.","Growth and analysis of Strait of Georgia lingcod by use of length-frequency and length-increment data in combination. Transactions of the American Fisheries Society 119:802-812."
"1249","Smith, J.G. and R.J. Nitsos. 1969.","Age and growth studies of English sole, Parophrys vetulus, in Monterey Bay, California. Pacific Marine Fisheries Commission Bulletin 7:73-79."
"1250","Smith, A.W., D.E. Skilling, C.M. Prato, and H.L. Bray. 1981.","Calicivirus (SMSV-5) infection in experimentally inoculated opaleye fish (Girella nigricans). Archives of Virology 67:165-168."
"1251","Smith, S.E., D.W. Au, and C. Show. 1998.","Intrinsic rebound potentials of 26 species of Pacific sharks. Marine and Freshwater Research 49(7):663-678."
"1253","Smith, B.D., G.A. McFarlane, and A.J. Cass. 1990.","Movements and mortality of tagged male and female lingcod in the Strait of Georgia, British Columbia. Transactions of the American Fisheries Society 119:813-824."
"1254","Smith, A.W., D.E. Skilling, and R.J. Brown. 1980.","Preliminary investigation of a possible lung worm (Parafilaroides decorus), fish (Girella nigricans), and marine mammal (Callorhinus ursinus) cycle for San Miguel sea lion virus Type 5. American Journal of Veterinary Research 41(11):1846-1850."
"1255","Smith, A.W., D.E. Skilling, A.H. Dardiri, and A.B. Latham. 1980.","Calicivirus pathogenic for swine: A new serotype isolated from opaleye Girella nigricans, an Ocean fish. Science 209(4459):940-941."
"1256","Soldat, V.T. 1982.","Age and size of spiny dogfish, Squalus acanthias, in the northwest Atlantic. NAFO Scientific Council Studies 3:47-52."
"1257","Sousa, W.P. 1979.","Experimental investigations of disturbance and ecological succession in a rocky intertidal algal community. Ecological Monographs 49(3):227-254."
"1258","Spratt, J.D. 1981.","California grunion, Leuresthes tenuis , spawn in Monterey Bay, California. California Department of Fish and Game 67(2):134."
"1259","Spratt, J.D. 1986.","The Amazing Grunion. California Department of Fish and Game, Marine Resources Leaflet No. 3, 8 p."
"1260","Springer, S. 1957.","Some observations on the behavior of schools of fishes in the Gulf of Mexico and adjacent waters. Ecology 38(1):166-171."
"1261","St. Mary, C.M. 1996.","Sex allocation in a simultaneous hermaphrodite, the zebra goby, Lythrypnus zebra: insight gained through a comparison with its sympatric congener, Lythrpnus dalli. Environmental Biology of Fishes 45:177-190."
"1262","Stahl-Johnson, K.L. 1985.","Descriptive characteristics of reared Sebastes caurinus and S. auriculatus larvae. In: A.W. Kendall Jr. and J.B. Marliave (Editors), Descriptions of early life history stages of selected fishes: from the 3rd international symposium on the early life history of fishes & 8th annual larval fish conference, Nanaimo. Canadian technical report of fisheries and aquatic sciences 1359:65-76."
"1263","Standora, E.A. and D.R. Nelson. 1977.","A telemetric study of the behavior of free-swimming pacific angel sharks, Squatina californica. Southern California Academy of Sciences:193-201."
"1264","STAR. 1999.","Black rockfish. La Jolla: Southwest Fisheries Science Center. 4 p."
"1265","Starks, E.C. 1919.","The fishes of the croaker family (Scianidae) of California. California Department of Fish and Game 5(1):13-20."
"1266","Starr, R.M. (pers. com.)","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1267","Starr, R.M. 1998.","Design principles for rockfish reserveson the U. S. West Coast. In: M.M. Yoklavich (Editor), Marine Harvest Refugia For West Coast Rockfish: A Workshop, August 1998, p 50-63. NOAA/NMFS Technical Memorandum No. 255."
"1268","STAT (Stock Assessment Team). 1999.","Status of the canary rockfish resource off Oregon and Washington in 1999. In: Status of the Pacific Coast Groundfish Fishery Through 1999 and Recommended Acceptable Biological Catches for 2000. Appendix: Stock Assessments, 111 p. Pacific Fishery Management Council, Portland, Oregon."
"1269","Steele, M.A. 1997.","The relative importance of processes affecting recruitment of two temperate reef fishes. Ecology 78(1):129-145."
"1270","Stein, D. and T.J. Hassler. 1989.","Species profiles: life histories and environmental requirements of coastal fishes and invertebrates (Pacific Southwest). Brown rockfish, copper rockfish; and black rockfish. U. S. Fish and Wildlife Service, Report No. TR EL-82-4. 15 p."
"1272","Stepien, C.A. 1987.","Color pattern and habitat differences between male, female, and juvenile giant kelpfish (Blennioidei: Clinidae). Bulletin of Marine Science 41(1):45-58."
"1273","Stephens Jr., J.S. 1992.","Opaleye and halfmoon. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 177-178. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1274","Stephens, R.C., R.L. Fisher, and R.G. Miller. 1957.","Food preferences of California surf fishes with a review of available baits. 22nd North American Wildlife Conference, Wildlife Management Institute, p 445-457."
"1275","Stephens, J.S., Jr., P.A. Morris, K. Zebra, and M. Love. 1984.","Factors affecting fish diversity on a temperate reef: the fish assemblage of Palos Verdes Point, 1974-1981. Environmental Biology of Fishes 11(4):259-275."
"1276","Stephens, J.S., Jr., P.A. Morris, D.J. Pondella, T.A. Koonce, and G.A. Jordan. 1994.","Overview of the dynamics of an urban artificial reef fish assemblage at King Harbor, California, USA, 1974-1991: A recruitment driven system. Bulletin of Marine Science 55(2-3):1224-1239."
"1277","Stepien, C.A. 1995.","Population genetic divergence and geographic patterns from DNA sequences: Examples from marine and freshwater fishes. American Fisheries Society Symposium 17:263-287."
"1278","Stepien, C.A. 1986.","Regulation of color morphic patterns in the giant kelpfish, Heterostichus rostratus Girard: genetic versus environmental factors. Journal of Experimental Marine Biology and Ecology 100:181-208."
"1280","Stepien, C.A. and R.H. Rosenblatt. 1991.","Patterns of gene flow and genetic divergence in the northeastern Pacific clinidae (Teleostei: Blennioidei), based on allozyme and morphological data. Copeia 1991(4):873-896."
"1281","Stevens, D.E. and L.W. Miller. 1983.","Effects of river flow on abundance of young Chinook salmon, American shad, longfin smelt, and delta smelt in the Sacramento-San Joaquin river system. Journal of Fisheries Management 3:425-437."
"1282","Stevens, G.B., G.A. Badgero, and H.D. Fisher. 1984.","Food habits of the river otter Lutra canadensis in the marine environment of British Columbia. Canadian Journal of Zoology 62:81-91."
"1283","Stevens, E.G., W. Watson, and H.G. Moser. 1989.","Development and distribution of larvae and pelagic juveniles of three kyphosid fishes (Girella nigricans, Medialuna californiensis, and Hermosilla azurea) off California and Baja California. Fishery Bulletin 87(3):745-768."
"1284","Stouder, D.J. 1987.","Effects of a severe-weather disturbance on foraging patterns within a California surfperch guild. Journal of Experimental Marine Biology and Ecology 144:73-84."
"1285","Strategic Assessment Branch. 1990.","West Coast of North America, Coastal and Ocean Zones, Strategic Assessment: Data Atlas. National Oceanic and Atmospheric Administration, U.S. Department of Commerce, Invertebrate and Fish Volume, Pre-publication Edition, September 1990."
"1287","Sturm, E.A. and M.H. Horn. 1998.","Food habits, gut morphology and pH, and assimilation efficiency of the zebraperch Hermosilla azurea, an herbivorous kyphosid fish of temperate marine waters. Marine Biology 132:515-522."
"1288","Sumida, B.Y., E.H. Ahlstrom, and H.G. Moser. 1979.","Early development of seven flatfishes of the eastern north Pacific with heavily pigmented larvae (Pisces, Pleuronectiformes). Fishery Bulletin 77(1):105-135."
"1289","Sumida, B.Y., H.G. Moser, and E.H. Ahlstrom. 1985.","Descriptions of larvae of California yellowtail, Seriola lalandi, and three other carangids from the eastern tropical Pacific: Chloroscombrus orqueta, Caranx caballus, and Caranx sexfasciatus. California Cooperative Oceanic Fisheries Investigations Reports 26:139-159."
"1290","Sumner, F.B. and D.L. Fox. 1933.","A study of variations in the amount of yellow pigment (xanthophyll) in certain fishes, and of the possible effects upon this of colored backgrounds. The Journal of Experimental Zoology 66(2):263-301."
"1291","Sunada, J.S., P.V. Velez, and C.A. Pattison. 1990.","Age, size, and sex composition of California halibut from southern California commercial fishery landings, 1983-1988. California Department of Fish and Game, Fish Bulletin 174:303-320."
"1292","Suomela, A.J. 1931.","The age and growth of Cymatogaster aggregatus Gilmore. M.S. Thesis, University of Washington. 43 p."
"1293","Suzuki, K. 1965.","Biology of striped mullet, Mugil cephalus Linne. Report of Faculty of Fisheries, Prefectural University of Mie 5(2):295-305."
"1294","Swartz, S.L. 1981.","Cleaning symbiosis between topsmelt, Atherinops affinis, and gray whale, Eschrichtius robustus, in Laguna San Ignacio, Baja California Sur, Mexico. Fishery Bulletin 79(2):360."
"1295","Swedberg, S.E. 1965.","Age-fecundity relationships in the striped seaperch Embiotoca lateralis from Yaquina Bay. M.S. Thesis, Oregon State University. 41 p."
"1296","Talent, L.G. 1976.","Food habits of the leopard shark, Triakis semifasciata, in Elkhorn Slough, Monterey Bay, California. California Department of Fish and Game 62(4):286-298."
"1297","Talent, L.G. 1982.","Food habits of the gray smoothhound, Mustelus californicus, the brown smoothhound, Mustelus henlei, the shovelnose guitarfish, and the bat ray Myliobatis productus. California Department of Fish and Game 68(4):224-234."
"1298","Talent, L.G. 1985.","The occurrence, seasonal distribution, and reproductive condition of elasmoranch fishes in Elkhorn Slough, California. California Department of Fish and Game 71(4):210-219."
"1299","Tarp, F.H. 1952.","A revision of the family Embiotocidae. California Department of Fish and Game, Fish Bulletin 88, 99 p."
"1300","Tasto, R.N. 1975.","Aspects of the biology of Pacific staghorn sculpin, Leptocottus armatus Girard, in Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:123-195."
"1301","Taylor, F.H.C. 1970.","The British Columbia offshore herring survey 1969-70. Introduction methods, and report on cruises SK 69-1, -2, and -3. Fisheries Research Board of Canada Technical Report No. 174. 74 p."
"1302","Tegner, M.J. and P.K. Dayton. 1977.","Sea urchin recruitment patterns and implications of commercial fishing. Science 196:324-326."
"1303","Tegner, M.J. and P.K. Dayton. 1981.","Population structure, recruitment and mortality of two sea urchins (Strongylocentrotus franciscanus and S. purpuratus) in a kelp forest. Marine Ecology Progress Series 5:255-268."
"1304","Tegner, M.J. 1980.","Multispecies considerations of resource management in southern California kelp beds. Canadian Technological Report of Fisheries and Aquatic Science 954:125-143."
"1305","Telders, E.L. 1981.","Feeding periodicity and diet of the California tonguefish, Symphurus atricauda (Pisces: Cynoglossidae). M.S. Thesis, California State University Long Beach. 49 p."
"1307","Tenera Environmental Services. 2000.","Diablo Canyon Power Plant 316(b) Demonstration Report. Document No. E9-055.0. Tenera Environmental Services, P.O. Box 400, Avila Beach, California, 93424."
"1314","Terry, C.B. and J.S. Stephens Jr. 1976.","A study of the orientation of selected embiotocid fishes to depth and shifting seasonal vertical temperature gradients. Bulletin of the Southern California Academy of Sciences 75:170-183."
"1315","Thomas 1968","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1316","Thomas, D.H. 1991.","Petrale Sole. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 101-102. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1317","Thompson, W.F. 1919.","The spawning of the grunion. California Department of Fish and Game, Fish Bulletin 3:1-29."
"1318","Thompson, W.F., F.H. Bell, H.A. Dunlop, L.P. Schultz, and R.V. Cleve. 1936.","The spawning of the silver smelt, Hypomesus pretiosus. Ecology 17(1):158-168."
"1319","Thomson, D.A. and C.E. Lehner. 1976.","Resilience of a rocky intertidal fish community in a physically unstable environment. Journal of Experimental Marine Biology and Ecology 22:1-29."
"1320","Thomson, J.M. 1955.","The movements and migrations of mullet (Mugil cephalus L.). Australian Journal of Marine and Freshwater Research 5:328-347."
"1321","Thomson, J.M. 1957.","The size at maturity and spawning times of some western Australian estuarine fishes. Western Australia Fisheries Department Fisheries Bulletin 9:3-8."
"1322","Thomson, J.M. 1963.","Synopsis of biological data on the grey mullet Mugil cephalus Linnaeus 1758. CSIRO Fisheries and Oceanography Fisheries Synopsis No.1(1-8)."
"1324","Thomson, J.M. 1966.","The grey mullets. Oceanography and Marine Biology: an Annual Review 4:301-335."
"1327","Thomson 1973","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1328","Thomson 1991","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1329","Thomson, D.A. and K.A. Muench. 1976.","Influence of tides and waves on the spawning behavior of the Gulf of California Grunion, Leuresthes sardina (Jenkins and Evermann). Bulletin of the Southern California Academy of Sciences 75(2):198-203."
"1330","Thornburgh, K.R. 1978.","Patterns of resource utilization in flatfish communities. M.S. Thesis, University of Washington. 123 p."
"1331","Timmons, M. and R.N. Bray. 1997.","Age, growth, and sexual maturity of shovelnose guitarfish, Rhinobatus productus (Ayres). Fishery Bulletin 95(2):349-359."
"1332","Tokranov, A.M. and R.N. Novikov. 1997.","Distribution and size-age composition of Sebastolobus alascanus (Scorpaenidae) in Pacific waters of Kamchatka and the western part of the Bering Sea. Journal of Ichthyology 37(5):344-350."
"1333","Toole, C.L. 1980.","Intertidal recruitment and feeding in relation to optimal utilization of nursery areas by juvenile English sole (Parophrys vetulus: Pleuronectidae). Environmental Biology of Fishes 5(4):383-390."
"1334","Torok, M.L. 1994.","Movements, daily activity patterns, dive behavior, and food habits of harbor seals (Phoca vitulina richardsi) in San Francisco Bay, California. M.S. Thesis, California State University, Stanislaus. 88 p."
"1335","Tranah, G.J. and L.G. Allen. 1999.","Morphologic and genetic variation among six populations of the spotted sand bass, Paralabrax maculatofasciatus, from southern California to the Upper Sea of Cortez. Bulletin of the Southern California Academy of Science 98(3):103-118."
